"survey_id","month","day","year","plot_id","species","sex","wgt"
"8f58c260-4b8d-4efb-893c-84f0e4ce9e9a","7","16","1977","aeece3f0-4acf-4aaa-87cd-e04ac6c8ad2c","NA","M",
"1445e762-ace8-4f00-b01d-d6f75a7ba753","7","16","1977","b564c1fc-bd87-4525-92ee-8bb36928fc10","NA","M",
"8c5fe0a9-1f7d-46d2-8e9d-237b310d3fde","7","16","1977","aeece3f0-4acf-4aaa-87cd-e04ac6c8ad2c","DM","F",
"38ef8288-7db5-45df-9435-2f7ffe8a90ef","7","16","1977","a7498949-7b94-4f8e-b253-3e26bbf80710","DM","M",
"4d9f6537-7aac-4713-a390-80877ef21f6f","7","16","1977","b564c1fc-bd87-4525-92ee-8bb36928fc10","DM","M",
"fae16612-97dc-4c09-bb74-ce0f3e2d3919","7","16","1977","b7eb122e-a7c4-4982-97a0-fa67e45e6faf","PF","M",
"3cae49c3-6753-473e-ac54-c3798387309e","7","16","1977","aeece3f0-4acf-4aaa-87cd-e04ac6c8ad2c","PE","F",
"3c7a183c-7c7d-4ba7-afd8-bb57adbc7ab9","7","16","1977","b7eb122e-a7c4-4982-97a0-fa67e45e6faf","DM","M",
"50a0386c-0669-49b8-9d9d-bad11d84270e","7","16","1977","b7eb122e-a7c4-4982-97a0-fa67e45e6faf","DM","F",
"9767b013-a91c-4ceb-85ae-164c94b8394f","7","16","1977","74992ac6-3c8f-4547-b5f9-d4b3f6793a85","PF","F",
"4f5d63c8-2107-4732-9f9e-940530bc0f2c","7","16","1977","c5e12154-6677-4d6c-8feb-52355cbc1f78","DS","F",
"106e257b-5ad2-45b1-87fc-efd5e85aeaca","7","16","1977","a7498949-7b94-4f8e-b253-3e26bbf80710","DM","M",
"d603f1f8-cd85-44da-ad43-0ffc15a696d2","7","16","1977","b564c1fc-bd87-4525-92ee-8bb36928fc10","DM","M",
"9cd0463a-885a-4870-961f-e8434ca7574f","7","16","1977","5c4fd793-b31b-4a99-8d9c-65f19e358dec","DM",,
"bbcc9341-1551-4c99-ab1a-6eb356ed0835","7","16","1977","74992ac6-3c8f-4547-b5f9-d4b3f6793a85","DM","F",
"58728395-7394-4a74-873d-b890d7476cd0","7","16","1977","7dcaddf5-d272-4b69-a49c-d4f3cf000084","DM","F",
"cf926245-7ce3-40d5-9cc7-bb7994a543c3","7","16","1977","b564c1fc-bd87-4525-92ee-8bb36928fc10","DS","F",
"8b04ff46-a650-401d-950b-e28a52706ef2","7","16","1977","aeece3f0-4acf-4aaa-87cd-e04ac6c8ad2c","PP","M",
"92520049-14ee-451f-8c89-8459cff24ec7","7","16","1977","7dcaddf5-d272-4b69-a49c-d4f3cf000084","PF",,
"2e0abb92-bcaf-4692-9054-1a927ca7a089","7","17","1977","0453e08f-14f0-48c8-b72b-f0e3e57917e6","DS","F",
"d277b76a-058c-41e6-b25d-d447fa938763","7","17","1977","486c68ed-972c-4baf-beea-f8a72216e580","DM","F",
